,index,SUBJECT,Subject,Measure,Frequency,Unit,Reference Period,Level,Name
0,0,LCEAPR01,Labour Compensation > Earnings > Private sector > Hourly,"Level, rate or national currency, s.a.",Monthly,US Dollar,,Labour Compensation,Labour Compensation Earnings Private sector Hourly
1,713,LCEAPR01,Labour Compensation > Earnings > Private sector > Hourly,"Index 2015=100, s.a.",Monthly,Index,2015=100,Labour Compensation,Labour Compensation Earnings Private sector Hourly
2,1426,XTNTVA01,International Trade > Net trade > Value (goods) > Total,"National currency, monthly level",Monthly,US Dollar,,International Trade,International Trade Net trade Value (goods) Total
3,2246,XTNTVA01,International Trade > Net trade > Value (goods) > Total,"National currency, monthly level, s.a.",Monthly,US Dollar,,International Trade,International Trade Net trade Value (goods) Total
4,3066,XTNTVA01,International Trade > Net trade > Value (goods) > Total,"US Dollars, monthly level, s.a.",Monthly,US Dollar,,International Trade,International Trade Net trade Value (goods) Total
5,3886,BSEMFT02,Business tendency surveys (manufacturing) > Employment > Future Tendency > National indicator,"Level, rate or national currency, s.a.",Monthly,Percentage,,Business tendency surveys (manufacturing),Business tendency surveys (manufacturing) Employment Future Tendency National indicator
6,4696,XTIMVA01,International Trade > Imports > Value (goods) > Total,"National currency, monthly level",Monthly,US Dollar,,International Trade,International Trade Imports Value (goods) Total
7,5516,XTIMVA01,International Trade > Imports > Value (goods) > Total,"National currency, monthly level, s.a.",Monthly,US Dollar,,International Trade,International Trade Imports Value (goods) Total
8,6336,XTIMVA01,International Trade > Imports > Value (goods) > Total,"US Dollars, monthly level, s.a.",Monthly,US Dollar,,International Trade,International Trade Imports Value (goods) Total
9,7156,XTIMVA01,International Trade > Imports > Value (goods) > Total,"Growth rate previous period, s.a.",Monthly,Percentage,,International Trade,International Trade Imports Value (goods) Total
10,7975,XTIMVA01,International Trade > Imports > Value (goods) > Total,"Growth rate same period previous year, s.a.",Monthly,Percentage,,International Trade,International Trade Imports Value (goods) Total
11,8783,PRMNTO01,Production > Manufacturing > Total manufacturing > Total manufacturing,Index 2015=100,Monthly,Index,2015=100,Production,Production Manufacturing Total manufacturing Total manufacturing
12,10035,PRMNTO01,Production > Manufacturing > Total manufacturing > Total manufacturing,"Index 2015=100, s.a.",Monthly,Index,2015=100,Production,Production Manufacturing Total manufacturing Total manufacturing
13,11287,PRMNTO01,Production > Manufacturing > Total manufacturing > Total manufacturing,"Growth rate previous period, s.a.",Monthly,Percentage,,Production,Production Manufacturing Total manufacturing Total manufacturing
14,12538,SLRTTO01,Sales > Retail trade > Total retail trade > Volume,"Index 2015=100, s.a.",Monthly,Index,2015=100,Sales,Sales Retail trade Total retail trade Volume
15,13358,SLRTTO01,Sales > Retail trade > Total retail trade > Volume,"Growth rate previous period, s.a.",Monthly,Percentage,,Sales,Sales Retail trade Total retail trade Volume
16,14177,SLRTTO01,Sales > Retail trade > Total retail trade > Volume,"Growth rate same period previous year, s.a.",Monthly,Percentage,,Sales,Sales Retail trade Total retail trade Volume
17,14985,CPALWE01,Consumer Price Index > All items > All items: wage earners > Total,Index 2015=100,Monthly,Index,2015=100,Consumer Price Index,Consumer Price Index All items All items: wage earners Total
18,15806,CPGRLE01,Consumer Price Index > OECD Groups > All items non-food non-energy > Total,Index 2015=100,Monthly,Index,2015=100,Consumer Price Index,Consumer Price Index OECD Groups All items non-food non-energy Total
