Unnamed: 0,SUBJECT,Subject,Measure,Frequency,Unit,Reference Period,Level,Name,source,missing_usa
0,LCEAPR01,Labour Compensation > Earnings > Private sector > Hourly,"Level, rate or national currency, s.a.",Monthly,US Dollar,,Labour Compensation,Labour Compensation Earnings Private sector Hourly,OECD,0
1,BSEMFT02,Business tendency surveys (manufacturing) > Employment > Future Tendency > National indicator,"Level, rate or national currency, s.a.",Monthly,Percentage,,Business tendency surveys (manufacturing),Business tendency surveys (manufacturing) Employment Future Tendency National indicator,OECD,0
2,XTIMVA01,International Trade > Imports > Value (goods) > Total,"National currency, monthly level, s.a.",Monthly,US Dollar,,International Trade,International Trade Imports Value (goods) Total,OECD,0
3,PRMNTO01,Production > Manufacturing > Total manufacturing > Total manufacturing,"Index 2015=100, s.a.",Monthly,Index,2015=100,Production,Production Manufacturing Total manufacturing Total manufacturing,OECD,0
4,MABMM301,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Monthly,US Dollar,,Monetary aggregates and their components,Monetary aggregates and their components Broad money and components M3 M3,OECD,0
5,IR3TED01,Interest Rates > 3-month or 90-day rates and yields > Eurodollar deposits > Total,"Level, rate or national currency",Monthly,Percentage,,Interest Rates,Interest Rates 3-month or 90-day rates and yields Eurodollar deposits Total,OECD,0
6,PRCNTO01,Production > Construction > Total construction > Total,"Index 2015=100, s.a.",Monthly,Index,2015=100,Production,Production Construction Total construction Total,OECD,0
7,BSOITE02,Business tendency surveys (manufacturing) > Orders inflow > Tendency > National indicator,"Level, rate or national currency, s.a.",Monthly,Percentage,,Business tendency surveys (manufacturing),Business tendency surveys (manufacturing) Orders inflow Tendency National indicator,OECD,0
8,STMNIS01,Short term statistics > Stocks - Manufacturing > Inventories to shipments > Total,"Level, rate or national currency, s.a.",Monthly,Ratio,,Short term statistics,Short term statistics Stocks - Manufacturing Inventories to shipments Total,OECD,0
9,SLWHTO02,Sales > Wholesale trade > Total wholesale trade > Value,"Monthly level, s.a.",Monthly,US Dollar,,Sales,Sales Wholesale trade Total wholesale trade Value,OECD,0
10,IR3TIB01,Interest Rates > 3-month or 90-day rates and yields > Interbank rates > Total,"Level, rate or national currency",Monthly,Percentage,,Interest Rates,Interest Rates 3-month or 90-day rates and yields Interbank rates Total,OECD,0
11,ODMNTO02,Orders > Manufacturing > Total orders > Value,"Monthly level, s.a.",Monthly,US Dollar,,Orders,Orders Manufacturing Total orders Value,OECD,0
12,BSCICP02,Business tendency surveys (manufacturing) > Confidence indicators > Composite indicators > National indicator,"Level, rate or national currency, s.a.",Monthly,Percentage,,Business tendency surveys (manufacturing),Business tendency surveys (manufacturing) Confidence indicators Composite indicators National indicator,OECD,0
13,CSCICP02,Consumer opinion surveys > Confidence indicators > Composite indicators > National indicator,"Level, rate or national currency, s.a.",Monthly,Percentage,,Consumer opinion surveys,Consumer opinion surveys Confidence indicators Composite indicators National indicator,OECD,0
14,XTEXVA01,International Trade > Exports > Value (goods) > Total,"National currency, monthly level, s.a.",Monthly,US Dollar,,International Trade,International Trade Exports Value (goods) Total,OECD,0
15,CCRETT01,Currency Conversions > Real effective exchange rates > Overall Economy > CPI,Index 2015=100,Monthly,Index,2015=100,Currency Conversions,Currency Conversions Real effective exchange rates Overall Economy CPI,OECD,0
16,CSINFT02,Consumer opinion surveys > Consumer prices (inflation) > Future tendency > National indicator,"Level, rate or national currency, s.a.",Monthly,Percentage,,Consumer opinion surveys,Consumer opinion surveys Consumer prices (inflation) Future tendency National indicator,OECD,0
17,HOHWMN02,Hours > Hours worked > Manufacturing > Weekly,"Level, rate or national currency, s.a.",Monthly,Hours,,Hours,Hours Hours worked Manufacturing Weekly,OECD,0
18,WSCNDW01,Work Started > Construction > Dwellings / Residential buildings > Total,"Monthly level, s.a.",Monthly,Number,,Work Started,Work Started Construction Dwellings / Residential buildings Total,OECD,0
19,IRSTFR01,Interest Rates > Immediate rates (< 24 hrs) > Federal funds rate > Total,"Level, rate or national currency",Monthly,Percentage,,Interest Rates,Interest Rates Immediate rates (< 24 hrs) Federal funds rate Total,OECD,0
20,SLRTTO02,Sales > Retail trade > Total retail trade > Value,"Monthly level, s.a.",Monthly,US Dollar,,Sales,Sales Retail trade Total retail trade Value,OECD,0
21,BSOBLV02,Business tendency surveys (manufacturing) > Order books > Level > National indicator,"Level, rate or national currency, s.a.",Monthly,Percentage,,Business tendency surveys (manufacturing),Business tendency surveys (manufacturing) Order books Level National indicator,OECD,0
22,SLMNTO02,Sales > Manufacturing > Total manufacturing > Value,"Monthly level, s.a.",Monthly,US Dollar,,Sales,Sales Manufacturing Total manufacturing Value,OECD,0
