Date,3MTBILL,10YT,103SPREAD,BBBYIELD,BBBOASPREAD,SP500,WTI,W875RX1,VIXCLS,RECPROUSM156N,DXY,y_nber,y_oecd,y_agg
1934-01-01,0.72,,,,,11.17,,,,,,0,,
1934-02-01,0.62,,,,,10.76,,,,,,0,,
1934-03-01,0.24,,,,,10.62,,,,,,0,,
1934-04-01,0.15,,,,,10.46,,,,,,0,,
1934-05-01,0.16,,,,,9.61,,,,,,0,,
1934-06-01,0.15,,,,,9.81,,,,,,0,,
1934-07-01,0.15,,,,,8.68,,,,,,0,,
1934-08-01,0.19,,,,,9.15,,,,,,0,,
1934-09-01,0.21,,,,,9.08,,,,,,0,,
1934-10-01,0.27,,,,,8.81,,,,,,0,,
1934-11-01,0.25,,,,,9.54,,,,,,0,,
1934-12-01,0.23,,,,,9.5,,,,,,0,,
1935-01-01,0.2,,,,,9.1,,,,,,0,,
1935-02-01,0.19,,,,,8.74,,,,,,0,,
1935-03-01,0.15,,,,,8.45,,,,,,0,,
1935-04-01,0.15,,,,,9.28,,,,,,0,,
1935-05-01,0.15,,,,,9.58,,,,,,0,,
1935-06-01,0.15,,,,,10.24,,,,,,0,,
1935-07-01,0.15,,,,,11.08,,,,,,0,,
1935-08-01,0.16,,,,,11.24,,,,,,0,,
1935-09-01,0.2,,,,,11.59,,,,,,0,,
1935-10-01,0.2,,,,,12.46,,,,,,0,,
1935-11-01,0.16,,,,,12.94,,,,,,0,,
1935-12-01,0.15,,,,,13.43,,,,,,0,,
1936-01-01,0.2,,,,,14.31,,,,,,0,,
1936-02-01,0.2,,,,,14.6,,,,,,0,,
1936-03-01,0.2,,,,,14.92,,,,,,0,,
1936-04-01,0.2,,,,,13.77,,,,,,0,,
1936-05-01,0.2,,,,,14.4,,,,,,0,,
1936-06-01,0.2,,,,,14.84,,,,,,0,,
1936-07-01,0.15,,,,,15.85,,,,,,0,,
1936-08-01,0.2,,,,,15.99,,,,,,0,,
1936-09-01,0.16,,,,,16.01,,,,,,0,,
1936-10-01,0.13,,,,,17.23,,,,,,0,,
1936-11-01,0.11,,,,,17.28,,,,,,0,,
1936-12-01,0.12,,,,,17.18,,,,,,0,,
1937-01-01,0.17,,,,,17.77,,,,,,0,,
1937-02-01,0.15,,,,,18.06,,,,,,0,,
1937-03-01,0.38,,,,,17.92,,,,,,0,,
1937-04-01,0.56,,,,,16.43,,,,,,0,,
1937-05-01,0.41,,,,,16.26,,,,,,0,,
1937-06-01,0.36,,,,,15.4,,,,,,1,,
1937-07-01,0.28,,,,,16.77,,,,,,1,,
1937-08-01,0.29,,,,,16.04,,,,,,1,,
1937-09-01,0.31,,,,,13.76,,,,,,1,,
1937-10-01,0.2,,,,,12.35,,,,,,1,,
1937-11-01,0.09,,,,,11.11,,,,,,1,,
1937-12-01,0.11,,,,,10.55,,,,,,1,,
1938-01-01,0.1,,,,,10.69,,,,,,1,,
1938-02-01,0.08,,,,,11.34,,,,,,1,,
1938-03-01,0.08,,,,,8.5,,,,,,1,,
1938-04-01,0.09,,,,,9.78,,,,,,1,,
1938-05-01,0.05,,,,,9.27,,,,,,1,,
1938-06-01,0.05,,,,,11.56,,,,,,1,,
1938-07-01,0.07,,,,,12.33,,,,,,0,,
1938-08-01,0.06,,,,,12.06,,,,,,0,,
1938-09-01,0.08,,,,,12.24,,,,,,0,,
1938-10-01,0.05,,,,,13.17,,,,,,0,,
1938-11-01,0.04,,,,,12.73,,,,,,0,,
1938-12-01,0.03,,,,,13.14,,,,,,0,,
1939-01-01,0.03,,,,,12.3,,,,,,0,,
1939-02-01,0.03,,,,,12.7,,,,,,0,,
1939-03-01,0.03,,,,,10.98,,,,,,0,,
1939-04-01,0.03,,,,,10.93,,,,,,0,,
1939-05-01,0.03,,,,,11.6,,,,,,0,,
1939-06-01,0.03,,,,,10.86,,,,,,0,,
1939-07-01,0.04,,,,,12.04,,,,,,0,,
1939-08-01,0.05,,,,,11.18,,,,,,0,,
1939-09-01,0.14,,,,,12.79,,,,,,0,,
1939-10-01,0.05,,,,,12.83,,,,,,0,,
1939-11-01,0.05,,,,,12.2,,,,,,0,,
1939-12-01,0.04,,,,,12.46,,,,,,0,,
1940-01-01,0.01,,,,,12.05,,,,,,0,,
1940-02-01,0.02,,,,,12.13,,,,,,0,,
1940-03-01,0.02,,,,,12.18,,,,,,0,,
1940-04-01,0.02,,,,,12.19,,,,,,0,,
1940-05-01,0.06,,,,,9.27,,,,,,0,,
1940-06-01,0.1,,,,,9.98,,,,,,0,,
1940-07-01,0.05,,,,,10.29,,,,,,0,,
1940-08-01,0.04,,,,,10.5,,,,,,0,,
1940-09-01,0.05,,,,,10.66,,,,,,0,,
1940-10-01,0.02,,,,,11.08,,,,,,0,,
1940-11-01,0.02,,,,,10.57,,,,,,0,,
1940-12-01,0.02,,,,,10.58,,,,,,0,,
1941-01-01,0.02,,,,,10.07,,,,,,0,,
1941-02-01,0.04,,,,,9.92,,,,,,0,,
1941-03-01,0.11,,,,,9.96,,,,,,0,,
1941-04-01,0.1,,,,,9.31,,,,,,0,,
1941-05-01,0.11,,,,,9.38,,,,,,0,,
1941-06-01,0.12,,,,,9.85,,,,,,0,,
1941-07-01,0.12,,,,,10.39,,,,,,0,,
1941-08-01,0.13,,,,,10.28,,,,,,0,,
1941-09-01,0.1,,,,,10.2,,,,,,0,,
1941-10-01,0.09,,,,,9.5,,,,,,0,,
1941-11-01,0.28,,,,,9.12,,,,,,0,,
1941-12-01,0.33,,,,,8.69,,,,,,0,,
1942-01-01,0.27,,,,,8.85,,,,,,0,,
1942-02-01,0.25,,,,,8.59,,,,,,0,,
1942-03-01,0.25,,,,,8.01,,,,,,0,,
1942-04-01,0.32,,,,,7.66,,,,,,0,,
1942-05-01,0.37,,,,,8.15,,,,,,0,,
1942-06-01,0.37,,,,,8.3,,,,,,0,,
1942-07-01,0.38,,,,,8.56,,,,,,0,,
1942-08-01,0.38,,,,,8.62,,,,,,0,,
1942-09-01,0.38,,,,,8.85,,,,,,0,,
1942-10-01,0.38,,,,,9.36,,,,,,0,,
1942-11-01,0.38,,,,,9.29,,,,,,0,,
1942-12-01,0.38,,,,,9.77,,,,,,0,,
1943-01-01,0.38,,,,,10.44,,,,,,0,,
1943-02-01,0.38,,,,,10.97,,,,,,0,,
1943-03-01,0.38,,,,,11.58,,,,,,0,,
1943-04-01,0.38,,,,,11.59,,,,,,0,,
1943-05-01,0.38,,,,,12.05,,,,,,0,,
1943-06-01,0.38,,,,,12.35,,,,,,0,,
1943-07-01,0.38,,,,,11.85,,,,,,0,,
1943-08-01,0.38,,,,,11.8,,,,,,0,,
1943-09-01,0.38,,,,,12.08,,,,,,0,,
1943-10-01,0.38,,,,,11.91,,,,,,0,,
1943-11-01,0.38,,,,,11.02,,,,,,0,,
1943-12-01,0.38,,,,,11.67,,,,,,0,,
1944-01-01,0.38,,,,,11.85,,,,,,0,,
1944-02-01,0.38,,,,,11.82,,,,,,0,,
1944-03-01,0.38,,,,,12.02,,,,,,0,,
1944-04-01,0.38,,,,,11.87,,,,,,0,,
1944-05-01,0.38,,,,,12.35,,,,,,0,,
1944-06-01,0.38,,,,,12.98,,,,,,0,,
1944-07-01,0.38,,,,,12.71,,,,,,0,,
1944-08-01,0.38,,,,,12.82,,,,,,0,,
1944-09-01,0.38,,,,,12.74,,,,,,0,,
1944-10-01,0.38,,,,,12.78,,,,,,0,,
1944-11-01,0.38,,,,,12.83,,,,,,0,,
1944-12-01,0.38,,,,,13.28,,,,,,0,,
1945-01-01,0.38,,,,,13.47,,,,,,0,,
1945-02-01,0.38,,,,,14.3,,,,,,0,,
1945-03-01,0.38,,,,,13.61,,,,,,1,,
1945-04-01,0.38,,,,,14.84,,,,,,1,,
1945-05-01,0.38,,,,,15.01,,,,,,1,,
1945-06-01,0.38,,,,,14.87,,,,,,1,,
1945-07-01,0.38,,,,,14.66,,,,,,1,,
1945-08-01,0.38,,,,,15.51,,,,,,1,,
1945-09-01,0.38,,,,,16.05,,,,,,1,,
1945-10-01,0.38,,,,,16.65,,,,,,1,,
1945-11-01,0.38,,,,,17.19,,,,,,0,,
1945-12-01,0.38,,,,,17.36,,,,,,0,,
1946-01-01,0.38,,,,,18.57,1.17,,,,,0,,
1946-02-01,0.38,,,,,17.28,1.17,,,,,0,,
1946-03-01,0.38,,,,,18.04,1.17,,,,,0,,
1946-04-01,0.38,,,,,18.76,1.27,,,,,0,,
1946-05-01,0.38,,,,,19.18,1.27,,,,,0,,
1946-06-01,0.38,,,,,18.43,1.27,,,,,0,,
1946-07-01,0.38,,,,,17.96,1.27,,,,,0,,
1946-08-01,0.38,,,,,16.65,1.52,,,,,0,,
1946-09-01,0.38,,,,,14.96,1.52,,,,,0,,
1946-10-01,0.38,,,,,14.84,1.52,,,,,0,,
1946-11-01,0.38,,,,,14.68,1.52,,,,,0,,
1946-12-01,0.38,,,,,15.3,1.62,,,,,0,,
1947-01-01,0.38,,,,,15.66,1.62,,,,,0,,
1947-02-01,0.38,,,,,15.43,1.62,,,,,0,,
1947-03-01,0.38,,,,,15.17,1.62,,,,,0,,
1947-04-01,0.38,,,,,14.58,1.87,,,,,0,,
1947-05-01,0.38,,,,,14.45,1.87,,,,,0,,
1947-06-01,0.38,,,,,15.21,1.87,,,,,0,,
1947-07-01,0.66,,,,,15.76,1.87,,,,,0,,
1947-08-01,0.75,,,,,15.32,1.87,,,,,0,,
1947-09-01,0.8,,,,,15.11,1.87,,,,,0,,
1947-10-01,0.85,,,,,15.43,1.87,,,,,0,,
1947-11-01,0.92,,,,,14.98,2.07,,,,,0,,
1947-12-01,0.95,,,,,15.3,2.07,,,,,0,,
1948-01-01,0.97,,,,,14.68,2.57,,,,,0,,
1948-02-01,1,,,,,13.93,2.57,,,,,0,,
1948-03-01,1,,,,,15.08,2.57,,,,,0,,
1948-04-01,1,,,,,15.48,2.57,,,,,0,,
1948-05-01,1,,,,,16.69,2.57,,,,,0,,
1948-06-01,1,,,,,16.74,2.57,,,,,0,,
1948-07-01,1,,,,,15.85,2.57,,,,,0,,
1948-08-01,1.06,,,,,15.97,2.57,,,,,0,,
1948-09-01,1.09,,,,,15.49,2.57,,,,,0,,
1948-10-01,1.12,,,,,16.5,2.57,,,,,0,,
1948-11-01,1.14,,,,,14.75,2.57,,,,,0,,
1948-12-01,1.16,,,,,15.2,2.57,,,,,1,,
1949-01-01,1.17,,,,,15.22,2.57,,,,,1,,
1949-02-01,1.17,,,,,14.62,2.57,,,,,1,,
1949-03-01,1.17,,,,,15.06,2.57,,,,,1,,
1949-04-01,1.17,,,,,14.71,2.57,,,,,1,,
1949-05-01,1.17,,,,,14.19,2.57,,,,,1,,
1949-06-01,1.17,,,,,14.16,2.57,,,,,1,,
1949-07-01,1.02,,,,,15.04,2.57,,,,,1,,
1949-08-01,1.04,,,,,15.22,2.57,,,,,1,,
1949-09-01,1.07,,,,,15.58,2.57,,,,,1,,
1949-10-01,1.05,,,,,16.04,2.57,,,,,1,1,2
1949-11-01,1.08,,,,,16.06,2.57,,,,,0,0,0
1949-12-01,1.1,,,,,16.79,2.57,,,,,0,0,0
1950-01-01,1.07,,,,,17.05,2.57,,,,,0,0,0
1950-02-01,1.12,,,,,17.22,2.57,,,,,0,0,0
