,BNBUCT02,BNEMTE02,BNODTE02,BNRMTE02,BSCICP02,BSCURT02,BSEMFT02,BSOBLV02,BSOITE02,BSPRTE02,BSXRLV02,CCRETT01,CPALTT01,CPGREN01,CPGRGO01,CPGRHO01,CPGRLE01,CPGRSE01,CSCICP02,CSESFT02,CSINFT02,HOHWMN02,IR3TCD01,IR3TED01,IR3TIB01,IRLTLT01,IRSTFR01,LCEAMN01,LCEAPR01,LFACTTTT,LFEMTTTT,LFHUTTTT,LFINTTTT,LFUNTTTT,LMJVTTUV,LOLITOAA,LOLITONO,LOLITOTR,LORSGPNO,LORSGPRT,LORSGPTD,LREMTTTT,LRHU24TT,LRUNTTTT,MABMM301,MANMM101,ODMNTO02,PIEAEN01,PIEAMP01,PRCNTO01,PRINTO01,PRMNTO01,SLMNTO02,SLRTTO02,SLWHTO02,STMNIS01,WSCNDW01,XTEXVA01,XTIMVA01,3MTBILL,10YT,103SPREAD,BBBYIELD,BBBOASPREAD,SP500,WTI,W875RX1,VIXCLS,RECPROUSM156N,DXY,y_nber,y_oecd,y_agg
1934-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67216944401184,,,4.9839054983001,4.91751388528944,,,,,,,,0.72,,,,,11.17,,,,,,0,,
1934-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67216944401184,,,5.22379275129119,5.19777635822912,,,,,,,,0.62,,,,,10.76,,,,,,0,,
1934-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.60987385142501,,,5.46368000428228,5.40161268155264,,,,,,,,0.24,,,,,10.62,,,,,,0,,
1934-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.60987385142501,,,5.46368000428228,5.50348095669376,,,,,,,,0.15,,,,,10.46,,,,,,0,,
1934-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67216944401184,,,5.57024149063163,5.57990710630992,,,,,,,,0.16,,,,,9.61,,,,,,0,,
1934-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67216944401184,,,5.46368000428228,5.45249693260256,,,,,,,,0.15,,,,,9.81,,,,,,0,,
1934-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73446503659866,,,5.09056611161349,5.01938216043056,,,,,,,,0.15,,,,,8.68,,,,,,0,,
1934-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79676062918548,,,5.03723580495679,4.9939400349056,,,,,,,,0.19,,,,,9.15,,,,,,0,,
1934-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79676062918548,,,4.744018245309,4.71367756196592,,,,,,,,0.21,,,,,9.08,,,,,,0,,
1934-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79676062918548,,,4.95724034497175,4.8919719867232,,,,,,,,0.27,,,,,8.81,,,,,,0,,
1934-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79676062918548,,,5.01057065162845,4.96839813633936,,,,,,,,0.25,,,,,9.54,,,,,,0,,
1934-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73446503659866,,,5.33035423764054,5.3250867588952,,,,,,,,0.23,,,,,9.5,,,,,,0,,
1935-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67216944401184,,,5.75679843696603,5.8091855551584,,,,,,,,0.2,,,,,9.1,,,,,,0,,
1935-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67216944401184,,,5.86345905027943,5.9111536033408,,,,,,,,0.19,,,,,8.74,,,,,,0,,
1935-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67216944401184,,,5.83679389695108,5.83472745372464,,,,,,,,0.15,,,,,8.45,,,,,,0,,
1935-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67216944401184,,,5.73013328363768,5.78374342963344,,,,,,,,0.15,,,,,9.28,,,,,,0,,
1935-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67216944401184,,,5.73013328363768,5.75830130410848,,,,,,,,0.15,,,,,9.58,,,,,,0,,
1935-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79676062918548,,,5.81012874362273,5.73275940554224,,,,,,,,0.15,,,,,10.24,,,,,,0,,
1935-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79676062918548,,,5.81012874362273,5.9111536033408,,,,,,,,0.15,,,,,11.08,,,,,,0,,
1935-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73446503659866,,,6.02335084328547,6.14043205218928,,,,,,,,0.16,,,,,11.24,,,,,,0,,
1935-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67216944401184,,,6.18324263629152,6.29338412446288,,,,,,,,0.2,,,,,11.59,,,,,,0,,
1935-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73446503659866,,,6.36979958262592,6.47167854922016,,,,,,,,0.2,,,,,12.46,,,,,,0,,
1935-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79676062918548,,,6.50312534926766,6.62453084845248,,,,,,,,0.16,,,,,12.94,,,,,,0,,
1935-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79676062918548,,,6.58302168228866,6.70095699806864,,,,,,,,0.15,,,,,13.43,,,,,,0,,
1936-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85905622177231,,,6.47646019593931,6.57364659740256,,,,,,,,0.2,,,,,14.31,,,,,,0,,
1936-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85905622177231,,,6.31656840293326,6.36981027407904,,,,,,,,0.2,,,,,14.6,,,,,,0,,
1936-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92135181435913,,,6.39646473595427,6.49712067474512,,,,,,,,0.2,,,,,14.92,,,,,,0,,
1936-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92135181435913,,,6.79624378195141,6.90479332139216,,,,,,,,0.2,,,,,13.77,,,,,,0,,
1936-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85905622177231,,,6.92947042162911,7.08318751919072,,,,,,,,0.2,,,,,14.4,,,,,,0,,
1936-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85905622177231,,,7.06279618827085,7.23603981842304,,,,,,,,0.2,,,,,14.84,,,,,,0,,
1936-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92135181435913,,,7.19602282794855,7.3634499921304,,,,,,,,0.15,,,,,15.85,,,,,,0,,
1936-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92135181435913,,,7.30268344126194,7.49086016583776,,,,,,,,0.2,,,,,15.99,,,,,,0,,
1936-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85905622177231,,,7.43591008093964,7.61827033954512,,,,,,,,0.16,,,,,16.01,,,,,,0,,
1936-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92135181435913,,,7.54247156728899,7.74568051325248,,,,,,,,0.13,,,,,17.23,,,,,,0,,
1936-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92135181435913,,,7.75569366695174,7.949516836576,,,,,,,,0.11,,,,,17.28,,,,,,0,,
1936-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92135181435913,,,7.99558091994283,8.20423741094944,,,,,,,,0.12,,,,,17.18,,,,,,0,,
1937-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92135181435913,,,7.96891576661448,8.20423741094944,,,,,,,,0.17,,,,,17.77,,,,,,0,,
1937-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92135181435913,,,8.07557637992788,8.3316475846568,,,,,,,,0.15,,,,,18.06,,,,,,0,,
1937-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92135181435913,,,8.26213332626228,8.382631608748,,,,,,,,0.38,,,,,17.92,,,,,,0,,
1937-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92135181435913,,,8.26213332626228,8.51004178245536,,,,,,,,0.56,,,,,16.43,,,,,,0,,
1937-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98364740694596,,,8.28879847959063,8.56102580654656,,,,,,,,0.41,,,,,16.26,,,,,,0,,
1937-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98364740694596,,,8.18213786627723,8.40807373427296,,,,,,,,0.36,,,,,15.4,,,,,,1,,
1937-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04594299953278,,,8.23546817293393,8.45905775836416,,,,,,,,0.28,,,,,16.77,,,,,,1,,
1937-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04594299953278,,,8.18213786627723,8.35718948322304,,,,,,,,0.29,,,,,16.04,,,,,,1,,
1937-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04594299953278,,,7.91568458692183,8.05138511171712,,,,,,,,0.31,,,,,13.76,,,,,,1,,
1937-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04594299953278,,,7.32924946762625,7.38889211765536,,,,,,,,0.2,,,,,12.35,,,,,,1,,
1937-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04594299953278,,,6.60968683561701,6.52266257331136,,,,,,,,0.09,,,,,11.11,,,,,,1,,
1937-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04594299953278,,,6.02335084328547,5.83472745372464,,,,,,,,0.11,,,,,10.55,,,,,,1,,
1938-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04594299953278,,,5.89012420360778,5.73275940554224,,,,,,,,0.1,,,,,10.69,,,,,,1,,
1938-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04594299953278,,,5.83679389695108,5.70731728001728,,,,,,,,0.08,,,,,11.34,,,,,,1,,
1938-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98364740694596,,,5.83679389695108,5.73275940554224,,,,,,,,0.08,,,,,8.5,,,,,,1,,
1938-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92135181435913,,,5.73013328363768,5.55446498078496,,,,,,,,0.09,,,,,9.78,,,,,,1,,
1938-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92135181435913,,,5.59690664395998,5.52892308221872,,,,,,,,0.05,,,,,9.27,,,,,,1,,
1938-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92135181435913,,,5.65023695061668,5.52892308221872,,,,,,,,0.05,,,,,11.56,,,,,,1,,
1938-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92135181435913,,,5.97002053662878,5.8601695792496,,,,,,,,0.07,,,,,12.33,,,,,,0,,
1938-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92135181435913,,,6.28990324960492,6.24240010037168,,,,,,,,0.06,,,,,12.06,,,,,,0,,
1938-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92135181435913,,,6.47646019593931,6.4462364236952,,,,,,,,0.08,,,,,12.24,,,,,,0,,
1938-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85905622177231,,,6.63635198894536,6.65007274701872,,,,,,,,0.05,,,,,13.17,,,,,,0,,
1938-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73446503659866,,,6.9029043952648,6.95577734548336,,,,,,,,0.04,,,,,12.73,,,,,,0,,
1938-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73446503659866,,,6.9828007282858,7.00676136957456,,,,,,,,0.03,,,,,13.14,,,,,,0,,
1939-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67216944401184,,,6.9828007282858,6.67551487254368,,,,,,,,0.03,,,,,12.3,,,,,,0,,
1939-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67216944401184,,,7.0361310349425,6.72649889663488,,,,,,,,0.03,,,,,12.7,,,,,,0,,
1939-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67216944401184,,,7.06279618827085,6.72649889663488,,,,,,,,0.03,,,,,10.98,,,,,,0,,
1939-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73446503659866,,,7.0361310349425,6.65007274701872,,,,,,,,0.03,,,,,10.93,,,,,,0,,
1939-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73446503659866,,,7.00946588161415,6.65007274701872,,,,,,,,0.03,,,,,11.6,,,,,,0,,
1939-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67216944401184,,,7.1693576746202,6.80292504625104,,,,,,,,0.03,,,,,10.86,,,,,,0,,
1939-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67216944401184,,,7.38257977428295,7.00676136957456,,,,,,,,0.04,,,,,12.04,,,,,,0,,
1939-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67216944401184,,,7.48924038759634,7.21059769289808,,,,,,,,0.05,,,,,11.18,,,,,,0,,
1939-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67216944401184,,,7.94225061328614,7.61827033954512,,,,,,,,0.14,,,,,12.79,,,,,,0,,
1939-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73446503659866,,,8.34202965928328,8.05138511171712,,,,,,,,0.05,,,,,12.83,,,,,,0,,
1939-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73446503659866,,,8.55525175894602,8.20423741094944,,,,,,,,0.05,,,,,12.2,,,,,,0,,
1939-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67216944401184,,,8.55525175894602,8.30620545913184,,,,,,,,0.04,,,,,12.46,,,,,,0,,
