Date,3mo T Bill,10yr Treasury,10/3 Spread,BBB yield,BBB OA Spread,S&P 500,WTI Spot
1934-01-01,0.72,,,,,11.17,
1934-02-01,0.62,,,,,10.76,
1934-03-01,0.24,,,,,10.62,
1934-04-01,0.15,,,,,10.46,
1934-05-01,0.16,,,,,9.61,
1934-06-01,0.15,,,,,9.81,
1934-07-01,0.15,,,,,8.68,
1934-08-01,0.19,,,,,9.15,
1934-09-01,0.21,,,,,9.08,
1934-10-01,0.27,,,,,8.81,
1934-11-01,0.25,,,,,9.54,
1934-12-01,0.23,,,,,9.5,
1935-01-01,0.20,,,,,9.1,
1935-02-01,0.19,,,,,8.74,
1935-03-01,0.15,,,,,8.45,
1935-04-01,0.15,,,,,9.28,
1935-05-01,0.15,,,,,9.58,
1935-06-01,0.15,,,,,10.24,
1935-07-01,0.15,,,,,11.08,
1935-08-01,0.16,,,,,11.24,
1935-09-01,0.20,,,,,11.59,
1935-10-01,0.20,,,,,12.46,
1935-11-01,0.16,,,,,12.94,
1935-12-01,0.15,,,,,13.43,
1936-01-01,0.20,,,,,14.31,
1936-02-01,0.20,,,,,14.6,
1936-03-01,0.20,,,,,14.92,
1936-04-01,0.20,,,,,13.77,
1936-05-01,0.20,,,,,14.4,
1936-06-01,0.20,,,,,14.84,
1936-07-01,0.15,,,,,15.85,
1936-08-01,0.20,,,,,15.99,
1936-09-01,0.16,,,,,16.01,
1936-10-01,0.13,,,,,17.23,
1936-11-01,0.11,,,,,17.28,
1936-12-01,0.12,,,,,17.18,
1937-01-01,0.17,,,,,17.77,
1937-02-01,0.15,,,,,18.06,
1937-03-01,0.38,,,,,17.92,
1937-04-01,0.56,,,,,16.43,
1937-05-01,0.41,,,,,16.26,
1937-06-01,0.36,,,,,15.4,
1937-07-01,0.28,,,,,16.77,
1937-08-01,0.29,,,,,16.04,
1937-09-01,0.31,,,,,13.76,
1937-10-01,0.20,,,,,12.35,
1937-11-01,0.09,,,,,11.11,
1937-12-01,0.11,,,,,10.55,
1938-01-01,0.10,,,,,10.69,
